GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.011225;0.037130;0.005987;0.000192;
0.005797;0.012358;0.005589;0.037493;
0.003850;0.007978;0.003291;0.049892;
0.006175;0.010188;0.003237;0.057932;
0.002722;0.006870;0.003485;0.068161;
0.005213;0.008847;0.003141;0.075062;
0.002649;0.006381;0.003066;0.083945;
0.002749;0.009209;0.005859;0.090354;
0.002798;0.006615;0.003117;0.099591;
0.002804;0.009380;0.005841;0.106248;
0.002674;0.006265;0.003163;0.115656;
0.002758;0.007425;0.003563;0.121954;
0.004577;0.008406;0.003162;0.129414;
0.002781;0.006478;0.003102;0.137849;
0.004307;0.007853;0.003098;0.144959;
0.002280;0.005913;0.003157;0.153956;
0.003234;0.006930;0.003251;0.160929;
0.002680;0.006391;0.003116;0.167896;
0.002669;0.009028;0.005868;0.174316;
0.002690;0.006262;0.003143;0.183372;
0.002706;0.006431;0.003131;0.189661;
0.004705;0.008233;0.003049;0.196122;
0.002627;0.006221;0.003049;0.204382;
0.004643;0.008166;0.003096;0.210631;
0.002695;0.006738;0.003568;0.218825;
0.002305;0.005884;0.003080;0.230956;
0.003318;0.006941;0.003070;0.236887;
0.004118;0.007801;0.003158;0.243856;
0.002708;0.006303;0.003194;0.251685;
0.002622;0.008413;0.005111;0.258018;
0.002673;0.006155;0.003079;0.266465;
0.002756;0.006456;0.003111;0.272648;
0.003986;0.007484;0.003056;0.279132;
0.002694;0.006241;0.003053;0.286644;
0.003844;0.007433;0.003143;0.292916;
0.002636;0.006284;0.003189;0.300394;
0.002711;0.007236;0.004102;0.306706;
0.002681;0.006296;0.003103;0.313969;
0.002714;0.006247;0.003095;0.320297;
0.003291;0.006942;0.003154;0.326573;
0.002787;0.006318;0.003109;0.333543;
0.002657;0.007165;0.004033;0.339889;
0.002675;0.006266;0.003134;0.347084;
0.002684;0.006230;0.003124;0.353377;
0.003382;0.007105;0.003221;0.359634;
0.002659;0.006212;0.003134;0.366771;
0.002694;0.007640;0.004459;0.373012;
0.002711;0.006336;0.003147;0.380679;
0.002684;0.006396;0.003104;0.387042;
0.003232;0.007117;0.003241;0.393499;
0.002718;0.006494;0.003179;0.400644;
0.003054;0.008158;0.004436;0.407173;
0.002725;0.006397;0.003193;0.415371;
0.002609;0.006146;0.003089;0.421799;
0.003473;0.006943;0.003069;0.427972;
0.002761;0.006611;0.003248;0.434943;
0.003268;0.006902;0.003170;0.441583;
0.002675;0.006323;0.003152;0.448515;
0.002715;0.006696;0.003257;0.454866;
0.003036;0.006817;0.003093;0.461597;
0.002737;0.006484;0.003219;0.468443;
0.003939;0.007688;0.003197;0.474957;
0.002708;0.006383;0.003171;0.482679;
0.002623;0.006329;0.003202;0.489094;
0.003776;0.007348;0.003092;0.495455;
0.002643;0.006161;0.003078;0.502836;
0.005174;0.008942;0.003229;0.509025;
0.002654;0.006252;0.003070;0.518008;
0.002704;0.008065;0.004761;0.524294;
0.002712;0.006378;0.003112;0.532392;
0.002862;0.006550;0.003144;0.538800;
0.003208;0.006994;0.003249;0.545379;
0.002693;0.006286;0.003238;0.552402;
0.004370;0.007902;0.003172;0.558715;
0.002769;0.006262;0.003066;0.566644;
0.002673;0.007235;0.004083;0.572937;
0.002821;0.006362;0.003142;0.580209;
0.002646;0.006265;0.003193;0.586599;
0.003251;0.006738;0.003127;0.592893;
0.002675;0.006109;0.003030;0.599658;
0.002773;0.006627;0.003128;0.605793;
0.003004;0.006728;0.003153;0.612454;
0.002734;0.006561;0.003252;0.619211;
0.004309;0.008012;0.003152;0.625801;
0.002708;0.006425;0.003214;0.633843;
0.002654;0.007371;0.004075;0.640296;
0.002718;0.006244;0.003067;0.647694;
0.002661;0.006176;0.003102;0.653968;
0.003305;0.006831;0.003099;0.660173;
0.002656;0.006235;0.003145;0.667033;
0.002707;0.007215;0.004067;0.673295;
0.002684;0.006258;0.003114;0.680538;
0.002740;0.006473;0.003122;0.686823;
0.003058;0.006641;0.003105;0.693325;
0.002681;0.006223;0.003098;0.699994;
0.002660;0.007283;0.004150;0.706246;
0.002715;0.006383;0.003216;0.713557;
0.002627;0.006283;0.003166;0.719971;
0.003202;0.006755;0.003149;0.726281;
0.002682;0.006658;0.003494;0.733062;
0.002751;0.007352;0.004136;0.739756;
0.002640;0.006271;0.003149;0.747141;
0.002696;0.006221;0.003098;0.753440;
0.002954;0.006547;0.003135;0.759689;
0.002787;0.006291;0.003090;0.766263;
0.002720;0.006328;0.003094;0.772581;
0.003203;0.006720;0.003088;0.778938;
0.002717;0.006279;0.003091;0.785686;
0.005217;0.008800;0.003138;0.792012;
0.002663;0.006223;0.003151;0.800851;
0.002658;0.007317;0.004105;0.807102;
0.002682;0.006154;0.003057;0.814446;
0.002697;0.006268;0.003085;0.820643;
0.003212;0.006753;0.003145;0.826941;
0.002666;0.006194;0.003088;0.833723;
0.002679;0.007204;0.004088;0.839956;
0.002691;0.006265;0.003166;0.847188;
0.002685;0.006206;0.003098;0.853479;
0.003187;0.006731;0.003097;0.859713;
0.002650;0.006209;0.003167;0.866471;
0.002691;0.006189;0.003107;0.872706;
0.003240;0.007294;0.003533;0.878923;
0.002636;0.006366;0.003210;0.886263;
0.004184;0.007762;0.003146;0.892669;
0.002675;0.006272;0.003120;0.900464;
0.002680;0.007218;0.004121;0.906764;
0.002635;0.006324;0.003177;0.914021;
0.002691;0.006195;0.003082;0.920398;
0.003064;0.006614;0.003094;0.926621;
0.002869;0.006472;0.003205;0.933262;
0.002794;0.007333;0.003984;0.939761;
0.002687;0.006354;0.003179;0.947132;
0.002679;0.006232;0.003096;0.953518;
0.004283;0.007931;0.003231;0.959780;
0.002674;0.006232;0.003092;0.967738;
0.002696;0.007241;0.004030;0.974009;
0.002682;0.006428;0.003256;0.981295;
0.002722;0.006362;0.003084;0.987751;
0.003127;0.006867;0.003141;0.994142;
0.002755;0.006424;0.003197;1.001044;
0.002661;0.007208;0.004064;1.007495;
0.002763;0.006269;0.003083;1.014731;
0.002692;0.006456;0.003105;1.021052;
0.003145;0.006765;0.003098;1.027540;
0.002666;0.006250;0.003150;1.034331;
0.002726;0.007147;0.003811;1.040608;
0.002652;0.006228;0.003095;1.047783;
0.002860;0.006547;0.003155;1.054049;
0.003116;0.006802;0.003107;1.060625;
0.002714;0.006282;0.003181;1.067454;
0.002663;0.007183;0.004077;1.073765;
0.002753;0.006232;0.003100;1.080977;
0.002668;0.006387;0.003232;1.087237;
0.003134;0.006665;0.003108;1.093652;
