GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.014937;0.044724;0.007974;0.000379;
0.008583;0.014995;0.005295;0.045596;
0.007837;0.014120;0.005525;0.060635;
0.004906;0.013752;0.008014;0.074796;
0.004033;0.010605;0.005817;0.088578;
0.005902;0.012093;0.005443;0.099213;
0.004113;0.012814;0.008051;0.111338;
0.003863;0.010112;0.005548;0.124192;
0.006180;0.012306;0.005378;0.134335;
0.005448;0.011630;0.005456;0.146843;
0.003700;0.012089;0.007824;0.158822;
0.003475;0.009390;0.005370;0.171823;
0.005700;0.011866;0.005548;0.181250;
0.004034;0.012224;0.007632;0.193144;
0.004044;0.009963;0.005419;0.205395;
0.006154;0.012144;0.005550;0.215386;
0.003855;0.011752;0.007334;0.227566;
0.003656;0.011661;0.007473;0.244905;
0.003997;0.009936;0.005338;0.256615;
0.005338;0.011083;0.005308;0.266583;
0.005235;0.011735;0.006006;0.277694;
0.003960;0.009992;0.005500;0.289466;
0.004581;0.010481;0.005357;0.299499;
0.003885;0.010691;0.006316;0.310040;
0.003912;0.009973;0.005521;0.320773;
0.004398;0.010232;0.005317;0.330780;
0.003896;0.010723;0.006362;0.341044;
0.003894;0.009823;0.005418;0.351808;
0.006223;0.012200;0.005417;0.361673;
0.003850;0.009858;0.005515;0.373926;
0.004853;0.010656;0.005381;0.383821;
0.004833;0.010785;0.005463;0.394507;
0.003978;0.009918;0.005458;0.405328;
0.004770;0.010507;0.005282;0.415278;
0.004020;0.010886;0.006392;0.425840;
0.004108;0.010045;0.005378;0.436780;
0.004557;0.010404;0.005378;0.446862;
0.004164;0.010156;0.005425;0.457297;
0.004443;0.010486;0.005574;0.467482;
0.004608;0.010569;0.005478;0.477999;
0.003960;0.010437;0.005432;0.488599;
0.004095;0.010067;0.005448;0.499070;
0.004022;0.011132;0.006614;0.509166;
0.004099;0.010147;0.005335;0.520327;
0.004298;0.010230;0.005364;0.530503;
0.003978;0.010290;0.005611;0.540762;
0.004498;0.010520;0.005448;0.551085;
0.004505;0.010909;0.005679;0.561634;
0.003949;0.011207;0.005436;0.572574;
0.003983;0.009889;0.005461;0.583827;
0.004039;0.011849;0.007080;0.593744;
0.003940;0.010062;0.005329;0.605625;
0.005158;0.011236;0.005458;0.615729;
0.003871;0.011228;0.006801;0.626998;
0.003980;0.010230;0.005500;0.638255;
0.004393;0.010365;0.005456;0.648516;
0.004045;0.011234;0.006459;0.658911;
0.003916;0.010280;0.005510;0.670184;
