GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.017111;0.043228;0.006274;0.000272;
0.008034;0.015539;0.006429;0.043795;
0.007999;0.014838;0.006121;0.059375;
0.007445;0.014751;0.006353;0.074250;
0.007357;0.014562;0.006598;0.089038;
0.005463;0.014667;0.008432;0.103636;
0.005639;0.015134;0.008844;0.118336;
0.005472;0.014538;0.008462;0.133498;
0.005087;0.011864;0.006177;0.148725;
0.006248;0.013528;0.006740;0.161740;
0.006466;0.013344;0.006276;0.175703;
0.007889;0.014620;0.006241;0.189086;
0.005367;0.014241;0.008369;0.203739;
0.005420;0.014411;0.008522;0.218008;
0.005365;0.012076;0.006179;0.232455;
0.005268;0.013571;0.007705;0.249717;
0.005501;0.012163;0.006166;0.263336;
0.006942;0.013864;0.006209;0.275536;
0.006387;0.013340;0.006200;0.289428;
0.005387;0.013087;0.007230;0.302828;
0.005388;0.013039;0.007144;0.315953;
0.005438;0.012246;0.006185;0.329025;
0.005823;0.012558;0.006198;0.341303;
0.006424;0.013195;0.006232;0.353904;
0.005401;0.013035;0.007162;0.367129;
0.005555;0.012293;0.006201;0.380192;
0.006190;0.012931;0.006271;0.392513;
0.006154;0.012831;0.006238;0.405472;
0.005495;0.013477;0.007428;0.418340;
0.005437;0.012011;0.006155;0.431852;
0.006031;0.012601;0.006100;0.443904;
0.005993;0.012725;0.006271;0.456535;
0.005442;0.013351;0.007404;0.469290;
0.005458;0.013297;0.007106;0.482678;
0.005508;0.012452;0.006354;0.496013;
0.006069;0.012944;0.006228;0.508494;
0.006761;0.013487;0.006150;0.521474;
0.005273;0.013099;0.007147;0.534994;
0.005566;0.012396;0.006203;0.548123;
0.006017;0.013010;0.006311;0.560554;
0.005862;0.013018;0.006393;0.573593;
0.005452;0.013579;0.007521;0.586677;
0.005538;0.015193;0.009123;0.600306;
0.005488;0.012392;0.006219;0.615528;
0.006815;0.013731;0.006229;0.627948;
0.005874;0.012790;0.006309;0.641722;
0.007256;0.013910;0.006204;0.654569;
0.005465;0.013102;0.007157;0.668508;
0.005534;0.012451;0.006237;0.681638;
0.005856;0.012562;0.006162;0.694130;
0.005914;0.012669;0.006241;0.706722;
0.005373;0.013114;0.007162;0.719427;
0.005604;0.013503;0.007329;0.732574;
0.005549;0.012426;0.006365;0.746105;
0.005999;0.012650;0.006178;0.758559;
0.006464;0.013297;0.006279;0.771245;
