GerstnerCUDAH;Interval;GerstnerCUDAN;Time;
0.015179;0.056556;0.006839;0.000269;
0.006065;0.016220;0.008854;0.056906;
0.004393;0.014176;0.008961;0.073186;
0.004053;0.011814;0.006891;0.087418;
0.004688;0.012778;0.007344;0.099269;
0.004724;0.012125;0.006850;0.112098;
0.003187;0.010773;0.006850;0.124265;
0.004748;0.012349;0.006845;0.135076;
0.003960;0.011432;0.006873;0.148063;
0.004622;0.012127;0.006869;0.161065;
0.002966;0.010545;0.006959;0.174047;
0.004864;0.013017;0.007230;0.184629;
0.004371;0.011850;0.006861;0.197683;
0.003252;0.012888;0.009079;0.209568;
0.003241;0.010436;0.006646;0.222490;
0.002925;0.010453;0.006884;0.239062;
0.005087;0.012532;0.006828;0.249559;
0.004933;0.012229;0.006783;0.262122;
0.003283;0.010621;0.006786;0.274388;
0.004688;0.012156;0.006897;0.285056;
0.004165;0.011505;0.006837;0.297251;
0.003285;0.011831;0.008010;0.308802;
0.003294;0.010705;0.006911;0.320668;
0.004362;0.011829;0.006895;0.331406;
0.003261;0.012897;0.009031;0.343276;
0.003327;0.010652;0.006852;0.356213;
0.004880;0.012394;0.006871;0.366902;
0.003781;0.011683;0.007232;0.379329;
0.003258;0.010655;0.006874;0.391049;
0.004383;0.011941;0.006731;0.401736;
0.003911;0.011345;0.006899;0.413708;
0.003291;0.011817;0.007965;0.425097;
0.003415;0.010746;0.006760;0.436945;
0.003857;0.011572;0.007176;0.447721;
0.003335;0.011848;0.007980;0.459325;
0.003258;0.010529;0.006802;0.471220;
0.004058;0.011718;0.007206;0.481786;
0.003293;0.011731;0.007919;0.493538;
0.003165;0.010478;0.006840;0.505304;
0.003967;0.011695;0.007156;0.515813;
0.004345;0.011681;0.006793;0.527542;
0.003290;0.010723;0.006894;0.539270;
0.003972;0.011191;0.006768;0.550031;
0.004976;0.012391;0.006951;0.561258;
0.003408;0.010869;0.006777;0.573681;
0.003757;0.011605;0.007250;0.584581;
0.003958;0.011412;0.006945;0.596217;
0.003190;0.010568;0.006822;0.607680;
0.004081;0.011718;0.007167;0.618286;
0.004008;0.011452;0.006850;0.630041;
0.003348;0.011566;0.007699;0.641533;
0.003235;0.010488;0.006830;0.653154;
0.003901;0.011243;0.006920;0.663692;
0.003225;0.010611;0.006858;0.674969;
0.003918;0.011480;0.007123;0.685614;
0.004017;0.011471;0.006938;0.697135;
0.003275;0.011814;0.007973;0.708640;
0.003382;0.011117;0.007147;0.720486;
0.003850;0.013178;0.006848;0.731637;
0.004395;0.011800;0.006918;0.744846;
0.003273;0.010558;0.006825;0.756684;
0.003917;0.011588;0.006916;0.767283;
0.003739;0.011158;0.006920;0.778906;
0.003318;0.010631;0.006839;0.790107;
0.003964;0.011485;0.007026;0.800781;
0.003891;0.011350;0.006890;0.812300;
0.003221;0.010957;0.007139;0.823682;
0.003730;0.011140;0.006941;0.834675;
0.003566;0.010858;0.006890;0.845849;
0.003250;0.011080;0.007307;0.856739;
0.003920;0.011405;0.006982;0.867850;
0.003577;0.011039;0.006849;0.879285;
0.003325;0.011174;0.007291;0.890355;
0.003858;0.011133;0.006836;0.901565;
0.004270;0.011721;0.006916;0.912738;
0.003152;0.010772;0.006966;0.924496;
0.003704;0.010979;0.006795;0.935304;
0.004249;0.011541;0.006798;0.946319;
0.003380;0.010841;0.006970;0.957898;
0.004103;0.011676;0.006877;0.968780;
0.003891;0.011210;0.006846;0.980493;
0.003303;0.010764;0.006871;0.991739;
0.004258;0.011686;0.006882;1.002546;
0.004212;0.011510;0.006832;1.014268;
0.003333;0.011861;0.008022;1.025812;
0.003285;0.010707;0.006829;1.037710;
0.003976;0.011325;0.006877;1.048451;
0.003283;0.011669;0.007769;1.059814;
0.003319;0.010708;0.006835;1.071523;
0.003724;0.011162;0.006859;1.082277;
0.003245;0.011664;0.007877;1.093473;
0.003291;0.010604;0.006844;1.105169;
0.003920;0.011180;0.006792;1.115809;
0.003396;0.011635;0.007753;1.127021;
0.003368;0.010741;0.006867;1.138689;
0.003734;0.011205;0.006942;1.149463;
0.003236;0.011307;0.007673;1.160698;
